skill_a,skill_b,path_a,path_b,score,status,actionable,scope_a,scope_b
analyze-project,beautiful-mermaid,skills/analyze-project,skills/beautiful-mermaid,0.081,clear,True,release,release
analyze-project,brainstorming,skills/analyze-project,skills/brainstorming,0.081,clear,True,release,release
analyze-project,code-reviewer,skills/analyze-project,skills/code-reviewer,0.094,clear,True,release,release
analyze-project,create-app-icon,skills/analyze-project,skills/create-app-icon,0.098,clear,True,release,release
analyze-project,figma-describe,skills/analyze-project,skills/figma-describe,0.118,clear,True,release,release
analyze-project,grill-me,skills/analyze-project,skills/grill-me,0.103,clear,True,release,release
analyze-project,handoff-restore,skills/analyze-project,skills/handoff-restore,0.049,clear,True,release,release
analyze-project,handoff-save,skills/analyze-project,skills/handoff-save,0.086,clear,True,release,release
analyze-project,inject-may-agents,skills/analyze-project,skills/inject-may-agents,0.07,clear,True,release,release
analyze-project,release,skills/analyze-project,skills/release,0.086,clear,True,release,release
analyze-project,repo-map,skills/analyze-project,skills/repo-map,0.1,clear,True,release,release
analyze-project,same-page,skills/analyze-project,skills/same-page,0.05,clear,True,release,release
analyze-project,sop-manager,skills/analyze-project,skills/sop-manager,0.081,clear,True,release,release
analyze-project,test-triage,skills/analyze-project,skills/test-triage,0.073,clear,True,release,release
analyze-project,tips,skills/analyze-project,skills/tips,0.0,clear,True,release,release
analyze-project,venom-cli,skills/analyze-project,skills/venom-cli,0.081,clear,True,release,release
beautiful-mermaid,brainstorming,skills/beautiful-mermaid,skills/brainstorming,0.07,clear,True,release,release
beautiful-mermaid,code-reviewer,skills/beautiful-mermaid,skills/code-reviewer,0.051,clear,True,release,release
beautiful-mermaid,create-app-icon,skills/beautiful-mermaid,skills/create-app-icon,0.085,clear,True,release,release
beautiful-mermaid,figma-describe,skills/beautiful-mermaid,skills/figma-describe,0.048,clear,True,release,release
beautiful-mermaid,grill-me,skills/beautiful-mermaid,skills/grill-me,0.065,clear,True,release,release
beautiful-mermaid,handoff-restore,skills/beautiful-mermaid,skills/handoff-restore,0.043,clear,True,release,release
beautiful-mermaid,handoff-save,skills/beautiful-mermaid,skills/handoff-save,0.073,clear,True,release,release
beautiful-mermaid,inject-may-agents,skills/beautiful-mermaid,skills/inject-may-agents,0.04,clear,True,release,release
beautiful-mermaid,release,skills/beautiful-mermaid,skills/release,0.048,clear,True,release,release
beautiful-mermaid,repo-map,skills/beautiful-mermaid,skills/repo-map,0.034,clear,True,release,release
beautiful-mermaid,same-page,skills/beautiful-mermaid,skills/same-page,0.067,clear,True,release,release
beautiful-mermaid,sop-manager,skills/beautiful-mermaid,skills/sop-manager,0.07,clear,True,release,release
beautiful-mermaid,test-triage,skills/beautiful-mermaid,skills/test-triage,0.042,clear,True,release,release
beautiful-mermaid,tips,skills/beautiful-mermaid,skills/tips,0.0,clear,True,release,release
beautiful-mermaid,venom-cli,skills/beautiful-mermaid,skills/venom-cli,0.045,clear,True,release,release
brainstorming,code-reviewer,skills/brainstorming,skills/code-reviewer,0.051,clear,True,release,release
brainstorming,create-app-icon,skills/brainstorming,skills/create-app-icon,0.085,clear,True,release,release
brainstorming,figma-describe,skills/brainstorming,skills/figma-describe,0.073,clear,True,release,release
brainstorming,grill-me,skills/brainstorming,skills/grill-me,0.114,clear,True,release,release
brainstorming,handoff-restore,skills/brainstorming,skills/handoff-restore,0.065,clear,True,release,release
brainstorming,handoff-save,skills/brainstorming,skills/handoff-save,0.1,clear,True,release,release
brainstorming,inject-may-agents,skills/brainstorming,skills/inject-may-agents,0.04,clear,True,release,release
brainstorming,release,skills/brainstorming,skills/release,0.048,clear,True,release,release
brainstorming,repo-map,skills/brainstorming,skills/repo-map,0.109,clear,True,release,release
brainstorming,same-page,skills/brainstorming,skills/same-page,0.043,clear,True,release,release
brainstorming,sop-manager,skills/brainstorming,skills/sop-manager,0.095,clear,True,release,release
brainstorming,test-triage,skills/brainstorming,skills/test-triage,0.042,clear,True,release,release
brainstorming,tips,skills/brainstorming,skills/tips,0.0,clear,True,release,release
brainstorming,venom-cli,skills/brainstorming,skills/venom-cli,0.095,clear,True,release,release
code-reviewer,create-app-icon,skills/code-reviewer,skills/create-app-icon,0.045,clear,True,release,release
code-reviewer,figma-describe,skills/code-reviewer,skills/figma-describe,0.083,clear,True,release,release
code-reviewer,grill-me,skills/code-reviewer,skills/grill-me,0.048,clear,True,release,release
code-reviewer,handoff-restore,skills/code-reviewer,skills/handoff-restore,0.048,clear,True,release,release
code-reviewer,handoff-save,skills/code-reviewer,skills/handoff-save,0.054,clear,True,release,release
code-reviewer,inject-may-agents,skills/code-reviewer,skills/inject-may-agents,0.093,clear,True,release,release
code-reviewer,release,skills/code-reviewer,skills/release,0.026,clear,True,release,release
code-reviewer,repo-map,skills/code-reviewer,skills/repo-map,0.057,clear,True,release,release
code-reviewer,same-page,skills/code-reviewer,skills/same-page,0.075,clear,True,release,release
code-reviewer,sop-manager,skills/code-reviewer,skills/sop-manager,0.051,clear,True,release,release
code-reviewer,test-triage,skills/code-reviewer,skills/test-triage,0.071,clear,True,release,release
code-reviewer,tips,skills/code-reviewer,skills/tips,0.0,clear,True,release,release
code-reviewer,venom-cli,skills/code-reviewer,skills/venom-cli,0.079,clear,True,release,release
create-app-icon,figma-describe,skills/create-app-icon,skills/figma-describe,0.065,clear,True,release,release
create-app-icon,grill-me,skills/create-app-icon,skills/grill-me,0.08,clear,True,release,release
create-app-icon,handoff-restore,skills/create-app-icon,skills/handoff-restore,0.038,clear,True,release,release
create-app-icon,handoff-save,skills/create-app-icon,skills/handoff-save,0.065,clear,True,release,release
create-app-icon,inject-may-agents,skills/create-app-icon,skills/inject-may-agents,0.056,clear,True,release,release
create-app-icon,release,skills/create-app-icon,skills/release,0.065,clear,True,release,release
create-app-icon,repo-map,skills/create-app-icon,skills/repo-map,0.065,clear,True,release,release
create-app-icon,same-page,skills/create-app-icon,skills/same-page,0.039,clear,True,release,release
create-app-icon,sop-manager,skills/create-app-icon,skills/sop-manager,0.062,clear,True,release,release
create-app-icon,test-triage,skills/create-app-icon,skills/test-triage,0.038,clear,True,release,release
create-app-icon,tips,skills/create-app-icon,skills/tips,0.0,clear,True,release,release
create-app-icon,venom-cli,skills/create-app-icon,skills/venom-cli,0.085,clear,True,release,release
figma-describe,grill-me,skills/figma-describe,skills/grill-me,0.093,clear,True,release,release
figma-describe,handoff-restore,skills/figma-describe,skills/handoff-restore,0.044,clear,True,release,release
figma-describe,handoff-save,skills/figma-describe,skills/handoff-save,0.05,clear,True,release,release
figma-describe,inject-may-agents,skills/figma-describe,skills/inject-may-agents,0.064,clear,True,release,release
figma-describe,release,skills/figma-describe,skills/release,0.024,clear,True,release,release
figma-describe,repo-map,skills/figma-describe,skills/repo-map,0.054,clear,True,release,release
figma-describe,same-page,skills/figma-describe,skills/same-page,0.07,clear,True,release,release
